,Serial Number,Word,Frequency
7407,7407,inevitable,33
7408,7408,desirable,36
7409,7409,realities,15
7410,7410,decisive,19
7411,7411,define,27
7412,7412,implement,4
7413,7413,nikita,7
7414,7414,heightened,6
7415,7415,announcements,6
7416,7416,catastrophe,11
7417,7417,stakes,5
7418,7418,encounters,8
7419,7419,churchill,12
7420,7420,diplomacy,17
7421,7421,summit,12
7422,7422,informal,18
7423,7423,denunciation,4
7424,7424,tended,24
7425,7425,propaganda,30
7426,7426,concessions,7
7427,7427,negotiation,6
7428,7428,aims,16
7429,7429,intimated,5
7430,7430,inauguration,8
7431,7431,confronted,32
7432,7432,delicate,27
7433,7433,shifting,11
7434,7434,smiles,11
7435,7435,toughness,6
7436,7436,debates,6
7437,7437,compel,4
7438,7438,awakening,4
7439,7439,shift,41
7440,7440,weakened,6
7441,7441,illusion,37
7442,7442,formulating,4
7443,7443,khrushchev's,14
7444,7444,eventual,11
7445,7445,ideally,10
7446,7446,concrete,48
7447,7447,adversary,5
7448,7448,probe,6
7449,7449,satisfy,16
7450,7450,tensions,19
7451,7451,caution,19
7452,7452,willingness,11
7453,7453,reflected,42
7454,7454,dated,19
7455,7455,broad,84
7456,7456,briefly,38
7457,7457,intense,40
7458,7458,inner,55
7459,7459,councils,6
7460,7460,advisability,4
7461,7461,precisely,48
7462,7462,directorate,4
7463,7463,veto,10
7464,7464,pressures,38
7465,7465,russians,31
7466,7466,secretly,6
7467,7467,testing,32
7468,7468,troubled,31
7469,7469,fatal,19
7470,7470,china,69
7471,7471,urgent,21
7472,7472,principle,109
7473,7473,organs,14
7474,7474,insistence,19
7475,7475,initially,18
7476,7476,lest,17
7477,7477,episodes,6
7478,7478,erroneous,4
7479,7479,penetration,15
7480,7480,warnings,9
7481,7481,strengthened,6
7482,7482,aggressive,17
7483,7483,grave,33
7484,7484,turning,75
7485,7485,midst,19
7486,7486,deliberations,7
7487,7487,embassy,17
7488,7488,negotiating,8
7489,7489,vigorous,29
7490,7490,well-informed,6
7491,7491,demonstrated,33
7492,7492,reactions,42
7493,7493,disapproval,15
7494,7494,expectation,11
7495,7495,salutary,5
7496,7496,rely,13
7497,7497,instincts,4
7498,7498,plain,48
7499,7499,pause,21
7500,7500,equation,33
7501,7501,dragged,15
7502,7502,reluctantly,7
7503,7503,initiative,32
7504,7504,conversations,10
7505,7505,notions,17
7506,7506,feelings,61
7507,7507,belongs,22
7508,7508,interpret,11
7509,7509,panic,22
7510,7510,exploit,9
7511,7511,scope,27
7512,7512,mechanisms,18
7513,7513,adaptation,10
7514,7514,shell,22
7515,7515,evolutionary,4
7516,7516,scheme,33
7517,7517,cancel,7
7518,7518,biology,7
7519,7519,aptly,4
7520,7520,illustrate,17
7521,7521,accomplishment,7
7522,7522,brethren,8
7523,7523,cease,15
7524,7524,wonder,67
7525,7525,miracle,16
7526,7526,centuries,46
7527,7527,minorities,5
7528,7528,ourselves,66
7529,7529,prone,14
7530,7530,zeal,8
7531,7531,generosity,7
7532,7532,unified,11
7533,7533,allocation,17
7534,7534,diocesan,5
7535,7535,catholics,33
7536,7536,responded,20
7537,7537,owe,10
7538,7538,esprit,6
7539,7539,protective,14
7540,7540,detachment,4
7541,7541,achieves,5
7542,7542,orientation,16
7543,7543,identification,43
7544,7544,founded,20
7545,7545,supernatural,17
7546,7546,nourished,5
7547,7547,devotion,19
7548,7548,satisfying,13
7549,7549,dimension,15
7550,7550,uniquely,10
7551,7551,sparks,5
7552,7552,subsidized,4
7553,7553,parish,11
7554,7554,produces,19
7555,7555,wasteful,7
7556,7556,duplication,8
7557,7557,clustered,4
7558,7558,isolated,35
7559,7559,represent,38
7560,7560,riot,7
7561,7561,collegiate,4
7562,7562,temper,12
7563,7563,tone,78
7564,7564,resembled,8
7565,7565,resembles,9
7566,7566,qualifications,16
7567,7567,specialized,18
7568,7568,brand,17
7569,7569,participation,41
7570,7570,e.g.,32
7571,7571,employee,24
7572,7572,secular,16
7573,7573,academic,56
7574,7574,scholar,15
7575,7575,emerges,9
7576,7576,delegate,8
7577,7577,mortal,10
7578,7578,varying,42
7579,7579,temperament,7
7580,7580,interests,83
7581,7581,capabilities,22
7582,7582,select,23
7583,7583,owns,13
7584,7584,phrase,34
7585,7585,attainment,9
7586,7586,pictured,4
7587,7587,paradox,9
7588,7588,framed,14
7589,7589,partners,16
7590,7590,grips,9
7591,7591,recruiting,4
7592,7592,caliber,8
7593,7593,spreads,10
7594,7594,tightly,15
7595,7595,knit,10
7596,7596,conferences,25
7597,7597,expressions,15
7598,7598,stereotype,12
7599,7599,boycott,8
7600,7600,declines,6
7601,7601,guarantee,9
7602,7602,tenure,12
7603,7603,significant,86
7604,7604,coveted,4
7605,7605,depreciation,13
7606,7606,exaggerate,8
7607,7607,salaries,8
7608,7608,substitute,22
7609,7609,cause,130
7610,7610,earning,9
7611,7611,broadly,7
7612,7612,intangible,6
7613,7613,derive,13
7614,7614,underestimate,4
7615,7615,reservoir,10
7616,7616,stimulus,15
7617,7617,communication,67
7618,7618,actual,99
7619,7619,in-group,4
7620,7620,definitive,5
7621,7621,titles,17
7622,7622,competent,21
7623,7623,technique,60
7624,7624,conclusions,36
7625,7625,destroying,17
7626,7626,students',4
7627,7627,familiar,72
7628,7628,useful,58
7629,7629,artificial,17
7630,7630,structured,14
7631,7631,difficulty,76
7632,7632,i.e.,43
7633,7633,eating,32
7634,7634,nebraska,6
7635,7635,anti-monopoly,4
7636,7636,argue,29
7637,7637,restricted,15
7638,7638,restriction,8
7639,7639,equality,12
7640,7640,forbid,4
7641,7641,begging,10
7642,7642,generated,11
7643,7643,fallen,34
7644,7644,plagued,5
7645,7645,shocked,19
7646,7646,allegedly,4
7647,7647,trivial,11
7648,7648,disputes,8
7649,7649,sums,17
7650,7650,equivalent,46
7651,7651,provoked,7
7652,7652,indignation,9
7653,7653,aircraft,70
7654,7654,attributable,7
7655,7655,defective,7
7656,7656,regulation,14
7657,7657,abuses,7
7658,7658,electrical,46
7659,7659,evoked,7
7660,7660,anti-trust,26
7661,7661,justified,23
7662,7662,rationale,6
7663,7663,inform,7
7664,7664,undefined,4
7665,7665,hypocrisy,7
7666,7666,foolish,16
7667,7667,rig,5
7668,7668,marginal,26
7669,7669,manufacture,18
7670,7670,accounting,12
7671,7671,varied,42
7672,7672,enterprises,14
7673,7673,muscles,31
7674,7674,accuse,10
7675,7675,monopoly,14
7676,7676,protection,68
7677,7677,implicit,13
7678,7678,fellows,18
7679,7679,tool,40
7680,7680,theory,129
7681,7681,govern,7
7682,7682,facts,87
7683,7683,flood,19
7684,7684,usefulness,11
7685,7685,folklore,28
7686,7686,capitalism,14
7687,7687,unconsciously,10
7688,7688,organizations,61
7689,7689,ideology,13
7690,7690,uncontrolled,4
7691,7691,dictatorship,13
7692,7692,penalties,4
7693,7693,invoked,6
7694,7694,pp.,9
7695,7695,empires,4
7696,7696,fantastic,20
7697,7697,evaluating,7
7698,7698,occasional,37
7699,7699,irrational,8
7700,7700,nominal,11
7701,7701,untrammeled,4
7702,7702,sentences,13
7703,7703,unprecedented,11
7704,7704,impersonal,14
7705,7705,devised,16
7706,7706,rational,25
7707,7707,advocating,6
7708,7708,1933,9
7709,7709,gigantic,10
7710,7710,tortured,9
7711,7711,reasoning,16
7712,7712,ambition,19
7713,7713,exercise,58
7714,7714,squarely,11
7715,7715,commodities,21
7716,7716,bags,10
7717,7717,wheat,9
7718,7718,agricultural,38
7719,7719,reacting,4
7720,7720,antagonism,9
7721,7721,imposes,4
7722,7722,commodity,7
7723,7723,nineteenth-century,16
7724,7724,1776,5
7725,7725,adam,44
7726,7726,wealth,22
7727,7727,parliament,16
7728,7728,combining,10
7729,7729,eighteenth-century,5
7730,7730,customs,18
7731,7731,outlawed,4
7732,7732,monopolies,5
7733,7733,denounced,7
7734,7734,employers,17
7735,7735,combinations,19
7736,7736,convert,12
7737,7737,pious,10
7738,7738,vs.,16
7739,7739,savage,22
7740,7740,mechanics,19
7741,7741,regulated,7
7742,7742,manufactured,11
7743,7743,article,68
7744,7744,exist,59
7745,7745,mechanic,5
7746,7746,necessity,40
7747,7747,enacting,4
7748,7748,measures,49
7749,7749,aimed,24
7750,7750,injunctions,5
7751,7751,extend,31
7752,7752,assuring,10
7753,7753,airlines,5
7754,7754,deemed,15
7755,7755,exemption,8
7756,7756,guise,6
7757,7757,giant,23
7758,7758,consumers,9
7759,7759,1914,8
7760,7760,stating,16
7761,7761,interpretation,54
7762,7762,1922,8
7763,7763,coal,32
7764,7764,interfered,5
7765,7765,interrupt,4
7766,7766,indirect,21
7767,7767,afterward,16
7768,7768,gore,7
7769,7769,understatement,4
7770,7770,erupted,7
7771,7771,fronts,7
7772,7772,congo,57
7773,7773,chaos,17
7774,7774,stirred,15
7775,7775,tanks,18
7776,7776,artillery,11
7777,7777,dictator,7
7778,7778,blunt,9
7779,7779,staffs,8
7780,7780,eleven,40
7781,7781,120,6
7782,7782,self-respect,4
7783,7783,endure,8
7784,7784,president-elect,5
7785,7785,rusk,10
7786,7786,reacted,12
7787,7787,invaded,6
7788,7788,readiness,15
7789,7789,carriers,11
7790,7790,lexington,7
7791,7791,bennington,4
7792,7792,southward,8
7793,7793,exaggeration,5
7794,7794,cautious,10
7795,7795,sorts,12
7796,7796,chaotic,5
7797,7797,mountainous,6
7798,7798,indian,52
7799,7799,chinese,56
7800,7800,dulles,9
7801,7801,specimen,24
7802,7802,becoming,57
7803,7803,calamity,4
7804,7804,seize,6
7805,7805,intrigue,4
7806,7806,drops,18
7807,7807,transports,5
7808,7808,cool,62
7809,7809,terribly,18
7810,7810,ominous,12
7811,7811,confront,8
7812,7812,turmoil,12
7813,7813,gates,15
7814,7814,fought,46
7815,7815,counting,12
7816,7816,noses,6
7817,7817,deadly,19
7818,7818,namely,33
7819,7819,colmer,6
7820,7820,gait,8
7821,7821,swung,48
7822,7822,suspicious,13
7823,7823,constituents,10
7824,7824,embarrassing,11
7825,7825,lukewarm,5
7826,7826,forgive,24
7827,7827,rebellion,13
7828,7828,campaigned,4
7829,7829,whites,16
7830,7830,tense,15
7831,7831,southerner,8
7832,7832,flatly,7
7833,7833,mister,10
7834,7834,thereupon,5
7835,7835,inferior,7
7836,7836,leaked,5
7837,7837,missouri's,4
7838,7838,cannon,7
7839,7839,purple,13
7840,7840,shouted,40
7841,7841,speaker's,4
7842,7842,dreadful,10
7843,7843,excluding,16
7844,7844,pork,10
7845,7845,barrel,24
7846,7846,raged,8
7847,7847,lose,58
7848,7848,numbered,9
7849,7849,smelling,5
7850,7850,applying,29
7851,7851,southerners,26
7852,7852,deliberately,30
7853,7853,face-saving,4
7854,7854,version,53
7855,7855,contrast,74
7856,7856,guerrilla,12
7857,7857,restrict,11
7858,7858,humphrey,6
7859,7859,phalanx,5
7860,7860,traditionally,10
7861,7861,senate's,4
7862,7862,notorious,8
7863,7863,mere,47
7864,7864,modification,4
7865,7865,binding,20
7866,7866,choke,9
7867,7867,hopefully,8
7868,7868,perennial,6
7869,7869,virtually,41
7870,7870,presiding,10
7871,7871,painful,25
7872,7872,chore,7
7873,7873,electoral,13
7874,7874,declaration,24
7875,7875,tight,28
7876,7876,presidency,11
7877,7877,lap,19
7878,7878,disbelief,6
7879,7879,licked,10
7880,7880,bite,10
7881,7881,midway,8
7882,7882,holes,39
7883,7883,augusta,6
7884,7884,teeth,103
7885,7885,34,21
7886,7886,washed,35
7887,7887,15th,14
7888,7888,scrambled,9
7889,7889,mishap,4
7890,7890,tears,34
7891,7891,sand,28
7892,7892,wedge,4
7893,7893,slope,19
7894,7894,afterwards,14
7895,7895,coe,5
7896,7896,hasty,5
7897,7897,recover,11
7898,7898,composure,4
7899,7899,visibly,6
7900,7900,putting,54
7901,7901,beside,78
7902,7902,roberts',12
7903,7903,stared,60
7904,7904,amazement,10
7905,7905,rounds,13
7906,7906,comfortable,37
7907,7907,closest,9
7908,7908,lean,20
7909,7909,disappointing,7
7910,7910,73,4
7911,7911,intact,14
7912,7912,deliberate,15
7913,7913,spontaneously,9
7914,7914,sight,83
7915,7915,prestige,29
7916,7916,pensacola,4
7917,7917,paired,6
7918,7918,whichever,6
7919,7919,awed,5
7920,7920,instant,38
7921,7921,rivalry,6
7922,7922,instantly,19
7923,7923,moist,11
7924,7924,boldly,8
7925,7925,consequences,35
7926,7926,rosburg,4
7927,7927,enormous,37
7928,7928,unquestionably,11
7929,7929,essentially,47
7930,7930,shaky,5
7931,7931,accurate,35
7932,7932,ugly,21
7933,7933,focus,40
7934,7934,destined,9
7935,7935,conspicuously,8
7936,7936,birdied,4
7937,7937,bogey,5
7938,7938,roar,13
7939,7939,landscape,20
7940,7940,answered,67
7941,7941,unmistakably,5
7942,7942,proceeded,25
7943,7943,sink,23
7944,7944,rolling,19
7945,7945,gifted,13
7946,7946,dominate,8
7947,7947,mar,4
7948,7948,contemptuous,6
7949,7949,earnest,18
7950,7950,aggressiveness,5
7951,7951,stepped,40
7952,7952,6th,6
7953,7953,downhill,6
7954,7954,measuring,30
7955,7955,pine,14
7956,7956,separating,7
7957,7957,160,5
7958,7958,settling,11
7959,7959,hoping,30
7960,7960,you'd,36
7961,7961,forget,54
7962,7962,chipped,4
7963,7963,switched,16
7964,7964,drives,6
7965,7965,450,4
7966,7966,muscular,16
7967,7967,awe,5
7968,7968,gregory,4
7969,7969,pearson,12
7970,7970,angels,24
7971,7971,borders,12
7972,7972,ridiculous,19
7973,7973,borrowed,14
7974,7974,successive,12
7975,7975,grumble,7
7976,7976,peril,8
7977,7977,endurance,16
7978,7978,doubly,4
7979,7979,jeopardy,4
7980,7980,herman,10
7981,7981,thwarted,4
7982,7982,amazing,20
7983,7983,58,4
7984,7984,1938,8
7985,7985,spurred,6
7986,7986,108,4
7987,7987,43,5
7988,7988,maris's,4
7989,7989,paces,7
7990,7990,mathematically,5
7991,7991,flourish,5
7992,7992,154,4
7993,7993,ideal,61
7994,7994,easier,51
7995,7995,concede,8
7996,7996,primarily,64
7997,7997,quote,17
7998,7998,enjoys,10
7999,7999,seeing,86
8000,8000,cerv,5
8001,8001,couch,12
8002,8002,divide,14
8003,8003,cooking,32
8004,8004,breakfast,53
8005,8005,sandwich,10
8006,8006,strikingly,8
8007,8007,backgrounds,7
8008,8008,minors,5
8009,8009,recalls,12
8010,8010,wished,55
8011,8011,extent,110
8012,8012,alike,20
8013,8013,hair,148
8014,8014,weigh,4
8015,8015,incredibly,7
8016,8016,shoulders,51
8017,8017,purchases,16
8018,8018,classified,14
8019,8019,miller's,6
8020,8020,literary,78
8021,8021,broadened,7
8022,8022,minds,56
8023,8023,passages,20
8024,8024,aloud,13
8025,8025,reporter,20
8026,8026,surprising,30
8027,8027,ballplayer,5
8028,8028,pleasant,38
8029,8029,photographers,6
8030,8030,cooperative,20
8031,8031,locker,9
8032,8032,volunteered,5
8033,8033,anecdote,9
8034,8034,occasions,22
8035,8035,dumb,13
8036,8036,angry,45
8037,8037,dutch,15
8038,8038,farrell,6
8039,8039,gentlemen,21
8040,8040,heroes,17
8041,8041,kidding,7
8042,8042,aching,6
8043,8043,crushed,10
8044,8044,vowed,5
8045,8045,ties,15
8046,8046,zinc,10
8047,8047,cents,26
8048,8048,possess,17
8049,8049,dug,15
8050,8050,fierce,8
8051,8051,nineteen,18
8052,8052,seconds,27
8053,8053,dash,11
8054,8054,swift,33
8055,8055,daring,12
8056,8056,weapon,42
8057,8057,inevitably,38
8058,8058,weaker,8
8059,8059,appropriately,5
8060,8060,startling,19
8061,8061,1919,6
8062,8062,grew,64
8063,8063,disinterested,5
8064,8064,sinatra,4
8065,8065,brother-in-law,5
8066,8066,entourage,4
8067,8067,sweater,14
8068,8068,frankie,17
8069,8069,fitzgerald,6
8070,8070,australia,11
8071,8071,cats,18
8072,8072,doubtless,13
8073,8073,ladies',9
8074,8074,pentagon,13
8075,8075,accumulation,11
8076,8076,vines,8
8077,8077,weeds,5
8078,8078,lifted,43
8079,8079,belonged,17
8080,8080,someone,94
8081,8081,1940,15
8082,8082,socks,7
8083,8083,window,119
8084,8084,elder,15
8085,8085,statesman,12
8086,8086,adlai,7
8087,8087,stevenson,15
8088,8088,u.n.,52
8089,8089,island's,9
8090,8090,greene,13
8091,8091,hearty,4
8092,8092,oldest,14
8093,8093,undergraduate,11
8094,8094,fabian,4
8095,8095,forte,6
8096,8096,classmates,4
8097,8097,lad,6
8098,8098,tapped,7
8099,8099,tooling,5
8100,8100,smothered,6
8101,8101,exhaust,7
8102,8102,slob,4
8103,8103,gaudy,7
8104,8104,racing,22
8105,8105,lazy,9
8106,8106,virtues,15
8107,8107,interviewed,12
8108,8108,comedian,5
8109,8109,1952,31
8110,8110,confided,8
8111,8111,experiment,63
8112,8112,impressions,25
8113,8113,glimpsed,5
8114,8114,sly,5
8115,8115,enigma,4
8116,8116,vaguely,17
8117,8117,eccentricity,4
8118,8118,collecting,13
8119,8119,headlines,7
8120,8120,first-class,6
8121,8121,fabled,4
8122,8122,legend,26
8123,8123,fortune,25
8124,8124,dying,34
8125,8125,boom,8
8126,8126,bargain,7
8127,8127,continent,17
8128,8128,barge,7
8129,8129,lavishly,4
8130,8130,drivers,24
8131,8131,picasso,14
8132,8132,hung,65
8133,8133,trusted,11
8134,8134,ernst,5
8135,8135,arranged,44
8136,8136,prizes,6
8137,8137,scarcely,24
8138,8138,glanced,25
8139,8139,treasures,6
8140,8140,revenge,7
8141,8141,bare,29
8142,8142,applicant,8
8143,8143,classrooms,5
8144,8144,admit,37
8145,8145,alabama,20
8146,8146,hamilton,17
8147,8147,holmes,37
8148,8148,charlayne,4
8149,8149,skins,7
8150,8150,journalism,13
8151,8151,tentatively,6
8152,8152,investigators,13
8153,8153,lasted,12
8154,8154,ritual,25
8155,8155,prostitution,10
8156,8156,beatnik,7
8157,8157,evasive,5
8158,8158,lied,6
8159,8159,desegregated,6
8160,8160,catch,43
8161,8161,chancellor,14
8162,8162,kimpton,4
8163,8163,hunt,10
8164,8164,gripped,12
8165,8165,statesmen,8
8166,8166,conant,7
8167,8167,pondered,4
8168,8168,successors,6
8169,8169,trustee,9
8170,8170,lure,7
8171,8171,scholars,27
8172,8172,happily,20
8173,8173,beadle,4
8174,8174,57,10
8175,8175,discovering,7
8176,8176,reign,7
8177,8177,idealist,4
8178,8178,wildly,25
8179,8179,enrollment,6
8180,8180,recruit,10
8181,8181,researchers,4
8182,8182,unexpected,23
8183,8183,journal,42
8184,8184,$300,8
8185,8185,philosopher,16
8186,8186,finger,40
8187,8187,belgians,21
8188,8188,grabbing,5
8189,8189,quarreling,5
8190,8190,tribes,12
8191,8191,historical,71
8192,8192,boundaries,14
8193,8193,geography,5
8194,8194,ethnic,13
8195,8195,groupings,9
8196,8196,gunmen,4
8197,8197,culture,58
8198,8198,dialects,4
8199,8199,religions,18
8200,8200,ancestor,7
8201,8201,ranges,10
8202,8202,patients,36
8203,8203,belgian,14
8204,8204,administered,14
8205,8205,1908,8
8206,8206,touched,42
8207,8207,conscience,40
8208,8208,commencing,8
8209,8209,colonialism,4
8210,8210,ordinarily,14
8211,8211,independence,70
8212,8212,congolese,12
8213,8213,infant,11
8214,8214,tin,12
8215,8215,uranium,6
8216,8216,describes,22
8217,8217,generale,4
8218,8218,anaconda,14
8219,8219,producing,35
8220,8220,ruthless,7
8221,8221,exploited,9
8222,8222,compassion,5
8223,8223,instituted,12
8224,8224,ration,10
8225,8225,obliged,21
8226,8226,eat,61
8227,8227,hungry,23
8228,8228,"25,000",7
8229,8229,puzzle,10
8230,8230,chien,9
8231,8231,indefinite,8
8232,8232,fearing,5
8233,8233,elite,13
8234,8234,unrest,5
8235,8235,manifestly,5
8236,8236,unprepared,6
8237,8237,prepare,35
8238,8238,colonies,7
8239,8239,pas,6
8240,8240,sang,29
8241,8241,mess,22
8242,8242,motivations,5
8243,8243,kasavubu,5
8244,8244,moise,4
8245,8245,tshombe,7
8246,8246,notably,16
8247,8247,patrice,5
8248,8248,lumumba,12
8249,8249,hurry,36
8250,8250,fragmentation,5
8251,8251,provincial,9
8252,8252,provinces,12
8253,8253,katanga,21
8254,8254,universal,45
8255,8255,assume,63
8256,8256,respectable,21
8257,8257,twenty-four,14
8258,8258,commenced,7
8259,8259,engulfed,5
8260,8260,succeeding,6
8261,8261,blamed,7
8262,8262,vague,25
8263,8263,withdrawal,6
8264,8264,hammarskjold,16
8265,8265,preferable,6
8266,8266,sweden,10
8267,8267,reluctant,15
8268,8268,withdraw,8
8269,8269,obstructed,4
8270,8270,complicated,30
8271,8271,u.n.'s,4
8272,8272,initiating,4
8273,8273,wars,26
8274,8274,secede,10
8275,8275,openly,34
8276,8276,three-month,4
8277,8277,flung,14
8278,8278,departed,9
8279,8279,withdrawing,4
8280,8280,uniformed,7
8281,8281,variously,5
8282,8282,mercenaries,12
8283,8283,interfere,9
8284,8284,appropriate,68
8285,8285,occurrence,30
8286,8286,resort,12
8287,8287,reliance,7
8288,8288,quo,11
8289,8289,mediterranean,7
8290,8290,picks,4
8291,8291,inter-american,7
8292,8292,nationalist,4
8293,8293,dapper,6
8294,8294,chiang,4
8295,8295,outer,31
8296,8296,abstention,5
8297,8297,conferred,5
8298,8298,707,4
8299,8299,teen-age,4
8300,8300,aisle,6
8301,8301,bent,34
8302,8302,stomach,37
8303,8303,sick,51
8304,8304,desert,21
8305,8305,rickards,4
8306,8306,guns,42
8307,8307,recruits,8
8308,8308,awoke,9
8309,8309,nap,4
8310,8310,nut,15
8311,8311,volunteer,9
8312,8312,augustine,4
8313,8313,immigration,10
8314,8314,sheriff's,5
8315,8315,surged,7
8316,8316,consumed,13
8317,8317,airplane,11
8318,8318,steal,5
8319,8319,shadows,20
8320,8320,mountains,43
8321,8321,pry,6
8322,8322,baggage,4
8323,8323,luggage,10
8324,8324,subsequently,11
8325,8325,bearden,4
8326,8326,coolidge,26
8327,8327,high-school,5
8328,8328,beardens,5
8329,8329,slug,10
8330,8330,simmons,10
8331,8331,take-off,4
8332,8332,raced,12
8333,8333,slugs,4
8334,8334,flattened,6
8335,8335,silenced,5
8336,8336,engines,17
8337,8337,crosby,5
8338,8338,eased,8
8339,8339,unarmed,4
8340,8340,distracted,5
8341,8341,pocket,46
8342,8342,nodded,51
8343,8343,"$100,000",4
8344,8344,unanimity,5
8345,8345,0,22
8346,8346,peacetime,4
8347,8347,requested,12
8348,8348,labeled,9
8349,8349,b-52,9
8350,8350,long-range,42
8351,8351,bombers,22
8352,8352,all-important,5
8353,8353,stew,5
8354,8354,1851,4
8355,8355,ceased,12
8356,8356,maine,9
8357,8357,menu,5
8358,8358,drab,5
8359,8359,bean,5
8360,8360,soup,16
8361,8361,ventured,5
8362,8362,toll-road,8
8363,8363,turnpikes,10
8364,8364,toll,16
8365,8365,speculative,8
8366,8366,streams,11
8367,8367,speculations,4
8368,8368,investments,6
8369,8369,tending,4
8370,8370,slipped,32
8371,8371,rises,20
8372,8372,risen,10
8373,8373,unmarried,6
8374,8374,happening,28
8375,8375,turnpike,15
8376,8376,slumped,8
8377,8377,road's,4
8378,8378,preceding,30
8379,8379,successes,22
8380,8380,extensions,8
8381,8381,access,24
8382,8382,illustration,23
8383,8383,deficiency,11
8384,8384,opportunities,51
8385,8385,planners,13
8386,8386,margins,6
8387,8387,attracting,4
8388,8388,luther,5
8389,8389,fiat,13
8390,8390,olivetti,4
8391,8391,calculating,7
8392,8392,enables,9
8393,8393,fraction,23
8394,8394,skilled,30
8395,8395,infrequent,4
8396,8396,exports,11
8397,8397,layout,6
8398,8398,vigor,14
8399,8399,textiles,15
8400,8400,imports,15
8401,8401,textile,28
8402,8402,industrialized,9
8403,8403,limiting,11
8404,8404,capture,17
8405,8405,loudly,17
8406,8406,protest,23
8407,8407,spanish,36
8408,8408,pour,9
8409,8409,gradual,16
8410,8410,clue,15
8411,8411,modernization,13
8412,8412,feasible,15
8413,8413,forcing,13
8414,8414,shrink,5
8415,8415,what's,53
8416,8416,handwriting,5
8417,8417,miners,5
8418,8418,cheap,24
8419,8419,mouths,8
8420,8420,wales,10
8421,8421,welsh,4
8422,8422,markets,31
8423,8423,ton,13
8424,8424,cheaper,11
8425,8425,rail,16
8426,8426,mines,28
8427,8427,mechanization,4
8428,8428,seams,9
8429,8429,twisting,11
8430,8430,productivity,17
8431,8431,fiction,46
8432,8432,apologetically,6
8433,8433,sorry,48
8434,8434,variations,23
8435,8435,ever-present,6
8436,8436,libraries,28
8437,8437,readers,37
8438,8438,lovers,10
8439,8439,nonfiction,4
8440,8440,budgets,5
8441,8441,hopelessly,7
8442,8442,startlingly,4
8443,8443,exceed,19
8444,8444,richest,5
8445,8445,plight,7
8446,8446,proportionately,9
8447,8447,limitations,28
8448,8448,contrasts,11
8449,8449,density,31
8450,8450,cross-section,5
8451,8451,extreme,62
8452,8452,upper,72
8453,8453,populated,12
8454,8454,nassau,14
8455,8455,ample,16
8456,8456,thriving,4
8457,8457,wary,7
8458,8458,cherish,5
8459,8459,joining,15
8460,8460,radical,30
8461,8461,autonomy,18
8462,8462,preserved,19
8463,8463,maintains,16
8464,8464,advantages,28
8465,8465,librarians,6
8466,8466,distant,37
8467,8467,requires,57
8468,8468,volumes,44
8469,8469,nucleus,11
8470,8470,develops,11
8471,8471,thirty,59
8472,8472,fifty,68
8473,8473,capita,16
8474,8474,inclusive,4
8475,8475,recognizes,10
8476,8476,broaden,8
8477,8477,everyday,12
8478,8478,1965,5
8479,8479,tools,34
8480,8480,backbone,4
8481,8481,specialization,10
8482,8482,founding,16
8483,8483,periodicals,5
8484,8484,connected,33
8485,8485,canvas,19
8486,8486,psychology,14
8487,8487,religion,119
8488,8488,biography,13
8489,8489,centered,14
8490,8490,repository,4
8491,8491,wholly,24
8492,8492,comprehensive,19
8493,8493,saves,5
8494,8494,bulk,16
8495,8495,discounts,5
8496,8496,bookkeeping,5
8497,8497,billing,4
8498,8498,resource,9
8499,8499,documentary,4
8500,8500,catalogue,8
8501,8501,classics,9
8502,8502,nightingale,4
8503,8503,balloon,10
8504,8504,understands,6
8505,8505,responsibilities,25
8506,8506,conducts,4
8507,8507,sample,57
8508,8508,copies,18
8509,8509,evaluate,13
8510,8510,prepares,4
8511,8511,displays,21
8512,8512,publishes,4
8513,8513,newsletter,4
8514,8514,governed,15
8515,8515,geographically,6
8516,8516,bear,57
8517,8517,borne,8
8518,8518,multiplying,8
8519,8519,teen-agers,12
8520,8520,citizen,30
8521,8521,advances,18
8522,8522,educated,21
8523,8523,discriminating,7
8524,8524,slave,30
8525,8525,spiritual,64
8526,8526,restraint,11
8527,8527,grows,22
8528,8528,translate,16
8529,8529,vigorously,13
8530,8530,pupils,25
8531,8531,render,11
8532,8532,vitally,9
8533,8533,richer,5
8534,8534,fuller,8
8535,8535,conjunction,16
8536,8536,abandoning,7
8537,8537,budgeting,7
8538,8538,insured,6
8539,8539,await,9
8540,8540,drag,15
8541,8541,limits,41
8542,8542,repeal,7
8543,8543,fireworks,5
8544,8544,fortunately,20
8545,8545,spared,9
8546,8546,resolutions,6
8547,8547,congratulate,4
8548,8548,answers,44
8549,8549,proudly,9
8550,8550,jefferson's,5
8551,8551,dictum,4
8552,8552,governors,8
8553,8553,wolves,4
8554,8554,penetrating,14
8555,8555,peeled,5
8556,8556,coupling,9
8557,8557,undertaking,5
8558,8558,abundant,9
8559,8559,strengthens,5
8560,8560,replacing,9
8561,8561,retaliation,6
8562,8562,removes,5
8563,8563,hers,16
8564,8564,stance,6
8565,8565,guess,56
8566,8566,extremity,4
8567,8567,soviets,12
8568,8568,bluff,8
8569,8569,builds,7
8570,8570,dekalb,6
8571,8571,minimum,68
8572,8572,demonstrating,6
8573,8573,touring,7
8574,8574,observed,74
8575,8575,africans,4
8576,8576,chin,25
8577,8577,sounds,55
8578,8578,nurses,4
8579,8579,deserve,12
